Date,Product,Quantity,Revenue,Payment Method
2026-01-05,Rice,2,5000,Cash
2026-01-05,Indomie,10,800,POS
2026-01-05,Vegetable Oil,1,3500,Cash
2026-01-06,Rice,3,7500,Transfer
2026-01-06,Tomato Paste,5,2500,Cash
2026-01-06,Sardines,4,2800,POS
2026-01-07,Indomie,15,1200,Cash
2026-01-07,Coca Cola,12,1800,Cash
2026-01-08,Rice,2,5000,POS
2026-01-08,Vegetable Oil,2,7000,Transfer
2026-01-09,Tissue Paper,3,600,Cash
2026-01-10,Biscuits,5,1500,Cash
2026-01-11,Rice,4,10000,Cash
2026-01-11,Indomie,8,640,POS
2026-01-12,Sugar,3,2400,Cash
2026-01-12,Tomato Paste,6,3000,Transfer
2026-01-13,Rice,2,5000,Cash
2026-01-13,Sardines,3,2100,POS
2026-01-14,Vegetable Oil,1,3500,Cash
2026-01-15,Indomie,12,960,Cash
2026-01-16,Rice,3,7500,Transfer
2026-01-17,Coca Cola,10,1500,Cash
2026-01-18,Tomato Paste,4,2000,POS
2026-01-19,Rice,2,5000,Cash
2026-01-20,Vegetable Oil,2,7000,Transfer
2026-01-21,Indomie,10,800,Cash
2026-01-22,Sardines,5,3500,POS
2026-01-23,Rice,3,7500,Cash
2026-01-24,Sugar,2,1600,Cash
2026-01-25,Tomato Paste,5,2500,Transfer
2026-01-26,Rice,4,10000,Cash
2026-01-27,Indomie,15,1200,POS
2026-02-01,Rice,2,5000,Cash
2026-02-02,Vegetable Oil,1,3500,Transfer
2026-02-03,Indomie,8,640,Cash
2026-02-04,Tomato Paste,4,2000,POS
2026-02-05,Rice,3,7500,Cash
2026-02-06,Sardines,4,2800,Cash
2026-02-07,Coca Cola,8,1200,POS
2026-02-08,Rice,2,5000,Transfer
2026-02-09,Indomie,10,800,Cash
2026-02-10,Vegetable Oil,2,7000,Cash
2026-02-11,Rice,3,7500,POS
2026-02-12,Tomato Paste,5,2500,Cash
2026-02-13,Sardines,3,2100,Transfer
2026-02-14,Rice,2,5000,Cash
2026-02-15,Indomie,12,960,POS
2026-02-16,Sugar,3,2400,Cash
2026-02-17,Rice,4,10000,Transfer
2026-02-18,Vegetable Oil,1,3500,Cash
2026-02-19,Tomato Paste,4,2000,POS
2026-02-20,Rice,2,5000,Cash
2026-02-21,Indomie,10,800,Cash
2026-02-22,Sardines,5,3500,Transfer
2026-02-23,Rice,3,7500,Cash
2026-02-24,Coca Cola,10,1500,POS
2026-03-01,Rice,2,5000,Cash
2026-03-02,Indomie,8,640,Transfer
2026-03-03,Vegetable Oil,1,3500,Cash
2026-03-04,Tomato Paste,4,2000,POS
2026-03-05,Rice,2,5000,Cash
2026-03-06,Sardines,3,2100,Cash
2026-03-07,Indomie,10,800,Transfer
2026-03-08,Rice,3,7500,Cash
2026-03-09,Vegetable Oil,2,7000,POS
2026-03-10,Tomato Paste,5,2500,Cash
2026-03-11,Rice,2,5000,Transfer
2026-03-12,Biscuits,4,1200,Cash
2026-03-13,Indomie,8,640,POS
2026-03-14,Rice,3,7500,Cash
2026-03-15,Sardines,4,2800,Cash
2026-03-16,Vegetable Oil,1,3500,Transfer
2026-03-17,Rice,2,5000,Cash
2026-03-18,Tomato Paste,4,2000,POS
2026-03-19,Indomie,10,800,Cash
2026-03-20,Rice,2,5000,Transfer
2026-03-21,Coca Cola,8,1200,Cash
2026-03-22,Vegetable Oil,2,7000,POS
2026-03-23,Rice,3,7500,Cash
2026-03-24,Indomie,12,960,Cash
2026-03-25,Tomato Paste,5,2500,Transfer
2026-03-26,Rice,2,5000,Cash
2026-03-27,Sardines,3,2100,POS
2026-04-01,Rice,2,5000,Cash
2026-04-02,Indomie,8,640,Transfer
2026-04-03,Vegetable Oil,1,3500,Cash
2026-04-04,Tomato Paste,4,2000,POS
2026-04-05,Rice,2,5000,Cash
2026-04-06,Sardines,3,2100,Cash
2026-04-07,Indomie,10,800,Transfer
2026-04-08,Rice,2,5000,Cash
2026-04-09,Vegetable Oil,1,3500,POS
2026-04-10,Tomato Paste,4,2000,Cash
2026-04-11,Rice,3,7500,Transfer
2026-04-12,Indomie,8,640,Cash
2026-04-13,Sardines,4,2800,POS
2026-04-14,Rice,2,5000,Cash
2026-04-15,Vegetable Oil,2,7000,Transfer
2026-04-16,Tomato Paste,5,2500,Cash
2026-04-17,Rice,2,5000,POS
2026-04-18,Indomie,10,800,Cash
2026-04-19,Coca Cola,8,1200,Transfer
2026-04-20,Rice,2,5000,Cash
2026-04-21,Vegetable Oil,1,3500,POS
2026-04-22,Tomato Paste,4,2000,Cash
2026-04-23,Rice,3,7500,Transfer
2026-04-24,Indomie,12,960,Cash
2026-04-25,Sardines,3,2100,POS
