Date,Product,Quantity,Revenue,Expiry Date,Payment Method
2026-01-05,Paracetamol,20,2000,2027-06-15,Cash
2026-01-05,Amoxicillin,10,5000,2026-12-20,POS
2026-01-05,Vitamin C,15,3000,2027-03-10,Cash
2026-01-06,Paracetamol,25,2500,2027-06-15,Transfer
2026-01-06,Malaria Drugs,8,12000,2026-11-30,Cash
2026-01-07,Omeprazole,12,6000,2027-01-15,POS
2026-01-07,Paracetamol,18,1800,2027-06-15,Cash
2026-01-08,Vitamin C,20,4000,2027-03-10,Cash
2026-01-08,Amoxicillin,8,4000,2026-12-20,Transfer
2026-01-09,Paracetamol,22,2200,2027-06-15,POS
2026-01-10,Malaria Drugs,10,15000,2026-11-30,Cash
2026-01-11,Blood Pressure,6,9000,2027-04-20,Transfer
2026-01-12,Paracetamol,30,3000,2027-06-15,Cash
2026-01-12,Metronidazole,15,4500,2026-10-25,POS
2026-01-13,Vitamin C,18,3600,2027-03-10,Cash
2026-01-14,Paracetamol,20,2000,2027-06-15,Cash
2026-01-15,Amoxicillin,12,6000,2026-12-20,Transfer
2026-01-16,Malaria Drugs,9,13500,2026-11-30,Cash
2026-01-17,Paracetamol,25,2500,2027-06-15,POS
2026-01-18,Omeprazole,10,5000,2027-01-15,Cash
2026-01-19,Vitamin C,16,3200,2027-03-10,Cash
2026-01-20,Paracetamol,28,2800,2027-06-15,Transfer
2026-01-21,Blood Pressure,8,12000,2027-04-20,Cash
2026-01-22,Amoxicillin,10,5000,2026-12-20,POS
2026-01-23,Paracetamol,22,2200,2027-06-15,Cash
2026-01-24,Malaria Drugs,7,10500,2026-11-30,Cash
2026-01-25,Vitamin C,20,4000,2027-03-10,Transfer
2026-01-26,Paracetamol,26,2600,2027-06-15,Cash
2026-01-27,Metronidazole,12,3600,2026-10-25,POS
2026-02-01,Paracetamol,24,2400,2027-06-15,Cash
2026-02-02,Amoxicillin,9,4500,2026-12-20,Transfer
2026-02-03,Vitamin C,18,3600,2027-03-10,Cash
2026-02-04,Paracetamol,20,2000,2027-06-15,POS
2026-02-05,Malaria Drugs,8,12000,2026-11-30,Cash
2026-02-06,Omeprazole,11,5500,2027-01-15,Cash
2026-02-07,Paracetamol,22,2200,2027-06-15,Transfer
2026-02-08,Blood Pressure,7,10500,2027-04-20,Cash
2026-02-09,Vitamin C,19,3800,2027-03-10,POS
2026-02-10,Paracetamol,25,2500,2027-06-15,Cash
2026-02-11,Amoxicillin,10,5000,2026-12-20,Cash
2026-02-12,Malaria Drugs,9,13500,2026-11-30,Transfer
2026-02-13,Paracetamol,21,2100,2027-06-15,Cash
2026-02-14,Metronidazole,14,4200,2026-10-25,POS
2026-02-15,Vitamin C,17,3400,2027-03-10,Cash
2026-02-16,Paracetamol,23,2300,2027-06-15,Transfer
2026-02-17,Omeprazole,10,5000,2027-01-15,Cash
2026-02-18,Amoxicillin,11,5500,2026-12-20,POS
2026-02-19,Paracetamol,20,2000,2027-06-15,Cash
2026-02-20,Malaria Drugs,8,12000,2026-11-30,Cash
2026-02-21,Vitamin C,18,3600,2027-03-10,Transfer
2026-02-22,Paracetamol,24,2400,2027-06-15,Cash
2026-02-23,Blood Pressure,6,9000,2027-04-20,POS
2026-02-24,Amoxicillin,9,4500,2026-12-20,Cash
2026-03-01,Paracetamol,22,2200,2027-06-15,Transfer
2026-03-02,Vitamin C,16,3200,2027-03-10,Cash
2026-03-03,Malaria Drugs,7,10500,2026-11-30,POS
2026-03-04,Paracetamol,20,2000,2027-06-15,Cash
2026-03-05,Omeprazole,12,6000,2027-01-15,Cash
2026-03-06,Amoxicillin,10,5000,2026-12-20,Transfer
2026-03-07,Paracetamol,25,2500,2027-06-15,Cash
2026-03-08,Vitamin C,19,3800,2027-03-10,POS
2026-03-09,Metronidazole,13,3900,2026-10-25,Cash
2026-03-10,Paracetamol,21,2100,2027-06-15,Transfer
2026-03-11,Malaria Drugs,8,12000,2026-11-30,Cash
2026-03-12,Blood Pressure,7,10500,2027-04-20,POS
2026-03-13,Paracetamol,23,2300,2027-06-15,Cash
2026-03-14,Amoxicillin,9,4500,2026-12-20,Cash
2026-03-15,Vitamin C,18,3600,2027-03-10,Transfer
2026-03-16,Paracetamol,20,2000,2027-06-15,Cash
2026-03-17,Omeprazole,11,5500,2027-01-15,POS
2026-03-18,Malaria Drugs,9,13500,2026-11-30,Cash
2026-03-19,Paracetamol,22,2200,2027-06-15,Transfer
2026-03-20,Vitamin C,17,3400,2027-03-10,Cash
2026-03-21,Amoxicillin,10,5000,2026-12-20,POS
2026-03-22,Paracetamol,24,2400,2027-06-15,Cash
2026-03-23,Blood Pressure,6,9000,2027-04-20,Cash
2026-03-24,Metronidazole,12,3600,2026-10-25,Transfer
2026-03-25,Paracetamol,21,2100,2027-06-15,Cash
2026-03-26,Malaria Drugs,8,12000,2026-11-30,POS
2026-03-27,Vitamin C,19,3800,2027-03-10,Cash
2026-04-01,Paracetamol,20,2000,2027-06-15,Transfer
2026-04-02,Amoxicillin,9,4500,2026-12-20,Cash
2026-04-03,Vitamin C,18,3600,2027-03-10,POS
2026-04-04,Paracetamol,22,2200,2027-06-15,Cash
2026-04-05,Malaria Drugs,7,10500,2026-11-30,Cash
2026-04-06,Omeprazole,10,5000,2027-01-15,Transfer
2026-04-07,Paracetamol,25,2500,2027-06-15,Cash
2026-04-08,Blood Pressure,8,12000,2027-04-20,POS
2026-04-09,Vitamin C,16,3200,2027-03-10,Cash
2026-04-10,Paracetamol,21,2100,2027-06-15,Transfer
2026-04-11,Amoxicillin,10,5000,2026-12-20,Cash
2026-04-12,Metronidazole,13,3900,2026-10-25,POS
2026-04-13,Paracetamol,23,2300,2027-06-15,Cash
2026-04-14,Malaria Drugs,8,12000,2026-11-30,Cash
2026-04-15,Vitamin C,19,3800,2027-03-10,Transfer
2026-04-16,Paracetamol,20,2000,2027-06-15,Cash
2026-04-17,Omeprazole,11,5500,2027-01-15,POS
2026-04-18,Amoxicillin,9,4500,2026-12-20,Cash
2026-04-19,Paracetamol,22,2200,2027-06-15,Transfer
2026-04-20,Blood Pressure,7,10500,2027-04-20,Cash
2026-04-21,Vitamin C,18,3600,2027-03-10,POS
2026-04-22,Paracetamol,24,2400,2027-06-15,Cash
2026-04-23,Malaria Drugs,9,13500,2026-11-30,Transfer
2026-04-24,Metronidazole,12,3600,2026-10-25,Cash
2026-04-25,Paracetamol,21,2100,2027-06-15,POS
