Date,Product,Quantity,Revenue,Cost,Category,Payment Method
2026-01-05,Jollof Rice,15,22500,12000,Rice Dishes,Cash
2026-01-05,Fried Chicken,12,18000,9600,Protein,POS
2026-01-05,Egusi Soup,8,12000,6400,Soup,Cash
2026-01-05,Eba,10,5000,2000,Swallow,Cash
2026-01-05,Coca Cola,15,2250,1500,Drinks,Cash
2026-01-06,White Rice,10,15000,8000,Rice Dishes,Transfer
2026-01-06,Beef,8,12000,7200,Protein,Cash
2026-01-06,Okra Soup,6,9000,4800,Soup,POS
2026-01-06,Fufu,8,4000,1600,Swallow,Cash
2026-01-06,Malt,10,3000,2000,Drinks,Cash
2026-01-07,Jollof Rice,18,27000,14400,Rice Dishes,Cash
2026-01-07,Fish,10,15000,9000,Protein,POS
2026-01-07,Egusi Soup,10,15000,8000,Soup,Cash
2026-01-07,Semo,12,6000,2400,Swallow,Transfer
2026-01-07,Water,20,2000,1200,Drinks,Cash
2026-01-08,Fried Rice,12,18000,9600,Rice Dishes,Cash
2026-01-08,Chicken,10,15000,8000,Protein,POS
2026-01-08,Ogbono Soup,7,10500,5600,Soup,Cash
2026-01-08,Eba,9,4500,1800,Swallow,Cash
2026-01-08,Pepsi,12,1800,1200,Drinks,Cash
2026-01-09,Jollof Rice,16,24000,12800,Rice Dishes,Transfer
2026-01-09,Turkey,6,18000,10800,Protein,Cash
2026-01-09,Egusi Soup,9,13500,7200,Soup,POS
2026-01-09,Fufu,10,5000,2000,Swallow,Cash
2026-01-09,Juice,8,4000,2400,Drinks,Cash
2026-01-10,White Rice,11,16500,8800,Rice Dishes,Cash
2026-01-10,Beef,9,13500,8100,Protein,POS
2026-01-10,Okra Soup,7,10500,5600,Soup,Cash
2026-01-10,Semo,11,5500,2200,Swallow,Transfer
2026-01-10,Malt,11,3300,2200,Drinks,Cash
2026-01-11,Jollof Rice,20,30000,16000,Rice Dishes,Cash
2026-01-11,Fish,12,18000,10800,Protein,POS
2026-01-11,Egusi Soup,11,16500,8800,Soup,Cash
2026-01-11,Eba,13,6500,2600,Swallow,Cash
2026-01-11,Coca Cola,18,2700,1800,Drinks,Transfer
2026-01-12,Fried Rice,14,21000,11200,Rice Dishes,Cash
2026-01-12,Chicken,11,16500,8800,Protein,POS
2026-01-12,Ogbono Soup,8,12000,6400,Soup,Cash
2026-01-12,Fufu,12,6000,2400,Swallow,Cash
2026-01-12,Water,22,2200,1320,Drinks,Cash
2026-01-13,Jollof Rice,17,25500,13600,Rice Dishes,Transfer
2026-01-13,Turkey,7,21000,12600,Protein,Cash
2026-01-13,Egusi Soup,10,15000,8000,Soup,POS
2026-01-13,Semo,13,6500,2600,Swallow,Cash
2026-01-13,Pepsi,14,2100,1400,Drinks,Cash
2026-01-14,White Rice,12,18000,9600,Rice Dishes,Cash
2026-01-14,Beef,10,15000,9000,Protein,POS
2026-01-14,Okra Soup,8,12000,6400,Soup,Cash
2026-01-14,Eba,11,5500,2200,Swallow,Transfer
2026-01-14,Juice,9,4500,2700,Drinks,Cash
2026-01-15,Jollof Rice,19,28500,15200,Rice Dishes,Cash
2026-01-15,Fish,11,16500,9900,Protein,POS
2026-01-15,Egusi Soup,12,18000,9600,Soup,Cash
2026-01-15,Fufu,14,7000,2800,Swallow,Cash
2026-01-15,Malt,13,3900,2600,Drinks,Transfer
2026-01-16,Fried Rice,15,22500,12000,Rice Dishes,Cash
2026-01-16,Chicken,12,18000,9600,Protein,POS
2026-01-16,Ogbono Soup,9,13500,7200,Soup,Cash
2026-01-16,Semo,14,7000,2800,Swallow,Cash
2026-01-16,Coca Cola,19,2850,1900,Drinks,Cash
2026-01-17,Jollof Rice,18,27000,14400,Rice Dishes,Transfer
2026-01-17,Turkey,8,24000,14400,Protein,Cash
2026-01-17,Egusi Soup,11,16500,8800,Soup,POS
2026-01-17,Eba,12,6000,2400,Swallow,Cash
2026-01-17,Water,24,2400,1440,Drinks,Cash
2026-01-18,White Rice,13,19500,10400,Rice Dishes,Cash
2026-01-18,Beef,11,16500,9900,Protein,POS
2026-01-18,Okra Soup,9,13500,7200,Soup,Cash
2026-01-18,Fufu,13,6500,2600,Swallow,Transfer
2026-01-18,Pepsi,15,2250,1500,Drinks,Cash
2026-01-19,Jollof Rice,21,31500,16800,Rice Dishes,Cash
2026-01-19,Fish,13,19500,11700,Protein,POS
2026-01-19,Egusi Soup,13,19500,10400,Soup,Cash
2026-01-19,Semo,15,7500,3000,Swallow,Cash
2026-01-19,Juice,10,5000,3000,Drinks,Transfer
2026-01-20,Fried Rice,16,24000,12800,Rice Dishes,Cash
2026-01-20,Chicken,13,19500,10400,Protein,POS
2026-01-20,Ogbono Soup,10,15000,8000,Soup,Cash
2026-01-20,Eba,14,7000,2800,Swallow,Cash
2026-01-20,Malt,14,4200,2800,Drinks,Transfer
2026-01-21,Jollof Rice,19,28500,15200,Rice Dishes,Cash
2026-01-21,Turkey,9,27000,16200,Protein,POS
2026-01-21,Egusi Soup,12,18000,9600,Soup,Cash
2026-01-21,Fufu,15,7500,3000,Swallow,Cash
2026-01-21,Coca Cola,20,3000,2000,Drinks,Cash
2026-01-22,White Rice,14,21000,11200,Rice Dishes,Transfer
2026-01-22,Beef,12,18000,10800,Protein,Cash
2026-01-22,Okra Soup,10,15000,8000,Soup,POS
2026-01-22,Semo,16,8000,3200,Swallow,Cash
2026-01-22,Water,25,2500,1500,Drinks,Cash
2026-01-23,Jollof Rice,22,33000,17600,Rice Dishes,Cash
2026-01-23,Fish,14,21000,12600,Protein,POS
2026-01-23,Egusi Soup,14,21000,11200,Soup,Cash
2026-01-23,Eba,15,7500,3000,Swallow,Transfer
2026-01-23,Pepsi,16,2400,1600,Drinks,Cash
2026-01-24,Fried Rice,17,25500,13600,Rice Dishes,Cash
2026-01-24,Chicken,14,21000,11200,Protein,POS
2026-01-24,Ogbono Soup,11,16500,8800,Soup,Cash
2026-01-24,Fufu,16,8000,3200,Swallow,Cash
2026-01-24,Juice,11,5500,3300,Drinks,Transfer
2026-01-25,Jollof Rice,20,30000,16000,Rice Dishes,Cash
2026-01-25,Turkey,10,30000,18000,Protein,POS
2026-01-25,Egusi Soup,13,19500,10400,Soup,Cash
2026-01-25,Semo,17,8500,3400,Swallow,Cash
2026-01-25,Malt,15,4500,3000,Drinks,Transfer
